"species","scenario","t","abundance_mean","abundance_sd","reproduction_mean","reproduction_sd","carry_mean","carry_sd","habitat_mean","habitat_sd","bevmort_mean","bevmort_sd"
"C","land_SSP1",9,1256200.403,66377.791,4.41,0.585,1283405.124,54486.913,2.756,0.258,1.692,0.14
"C","land_SSP1",10,1261895.338,64663.726,4.411,0.572,1283520.154,54410.706,2.756,0.258,1.693,0.14
"C","land_SSP1",11,1266510.718,62996.469,5.1,0.618,1169627.171,81452.744,2.871,0.229,1.939,0.155
"C","land_SSP1",12,1238343.45,61749.932,5.067,0.613,1169790.661,81484.353,2.871,0.229,1.94,0.155
"C","land_SSP1",13,1218717.687,64097.377,5.086,0.612,1169604.369,81373.872,2.871,0.229,1.939,0.155
"C","land_SSP1",14,1204660.982,67145.549,5.057,0.589,1169467.983,81437.315,2.871,0.229,1.939,0.155
"C","land_SSP1",15,1194671.637,70090.121,5.076,0.607,1169706.396,81545.62,2.871,0.229,1.939,0.154
"C","land_SSP1",16,1187559.767,72563.713,5.085,0.596,1169628.677,81609.625,2.871,0.229,1.939,0.154
"C","land_SSP1",17,1182436.844,74625.844,5.079,0.604,1169654.898,81498.422,2.871,0.229,1.939,0.154
"C","land_SSP1",18,1178824.552,76210.187,5.081,0.601,1169843.652,81261.676,2.871,0.229,1.94,0.154
"C","land_SSP1",19,1176184.029,77390.883,5.076,0.617,1169636.342,81679.831,2.871,0.229,1.939,0.154
"C","land_SSP1",20,1174269.034,78391.246,5.068,0.609,1169668.251,81468.363,2.871,0.229,1.939,0.155
"C","land_SSP1",21,1172940.085,79073.425,5.645,0.628,1034431.515,96359.843,2.812,0.184,2.155,0.167
"C","land_SSP1",22,1128897.667,84093.969,5.616,0.619,1034461.624,96415.052,2.812,0.184,2.155,0.167
"C","land_SSP1",23,1099450.759,88323.465,5.64,0.629,1034410.905,96335.271,2.812,0.184,2.155,0.167
"C","land_SSP1",24,1079387.067,91278.598,5.626,0.629,1034186.985,96272.475,2.812,0.184,2.155,0.167
"C","land_SSP1",25,1065513.225,93280.594,5.633,0.634,1034227.537,96323.887,2.812,0.184,2.155,0.167
"C","land_SSP1",26,1056011.056,94483.624,5.641,0.634,1034233.352,96501.043,2.812,0.184,2.155,0.167
"C","land_SSP1",27,1049432.946,95228.295,5.655,0.626,1034548.9,96311.864,2.812,0.184,2.155,0.167
"C","land_SSP1",28,1044910.299,95679.148,5.632,0.625,1034372.184,96386.108,2.812,0.184,2.155,0.167
"C","land_SSP1",29,1041693.057,96025.288,5.652,0.644,1034360.782,96331.732,2.812,0.184,2.155,0.167
"C","land_SSP1",30,1039550.219,96194.641,5.639,0.645,1034476.38,96406.813,2.812,0.184,2.155,0.167
"C","land_SSP1",31,1038067.701,96311.826,6.249,0.644,828599.763,128452.08,2.487,0.251,2.389,0.178
"C","land_SSP1",32,962387.952,111899.224,6.249,0.644,828618.565,128384.554,2.487,0.251,2.389,0.178
"C","land_SSP1",33,915591.92,120323.496,6.241,0.659,828772.511,128565.804,2.487,0.251,2.389,0.178
"C","land_SSP1",34,885840.359,124860.324,6.273,0.669,828647.849,128522.055,2.487,0.251,2.389,0.178
"C","land_SSP1",35,866489.362,127167.764,6.26,0.648,828716.914,128528.259,2.487,0.251,2.389,0.178
"C","land_SSP1",36,853873.558,128330.562,6.253,0.642,828809.75,128537.908,2.487,0.251,2.389,0.178
"C","land_SSP1",37,845600.243,128873.348,6.26,0.662,828807.684,128674.266,2.487,0.251,2.389,0.178
"C","land_SSP1",38,840061.47,129107.807,6.263,0.662,828679.091,128614.533,2.487,0.251,2.389,0.178
"C","land_SSP1",39,836295.613,129136.61,6.251,0.639,828812.645,128495.244,2.487,0.251,2.389,0.178
"C","land_SSP1",40,833860.009,129041.619,6.242,0.625,828716.938,128630.95,2.487,0.251,2.389,0.178
"C","land_SSP5",1,1235126.394,1296373.516,10.32,1.354,2994723.387,127086.229,6.432,0.602,3.949,0.326
"C","land_SSP5",2,2659631.53,222357.582,10.316,1.34,2994556.684,126967.142,6.432,0.602,3.949,0.326
"C","land_SSP5",3,2729404.086,206624.834,10.406,1.361,2995004.699,127025.335,6.432,0.602,3.949,0.327
"C","land_SSP5",4,2785390.049,193324.162,10.337,1.398,2994957.176,127228.482,6.432,0.602,3.949,0.327
"C","land_SSP5",5,2829731.595,182805.05,10.305,1.348,2994468.078,126889.916,6.432,0.602,3.949,0.326
"C","land_SSP5",6,2864547.658,173568.791,10.316,1.361,2994577.601,127314.945,6.432,0.602,3.949,0.326
"C","land_SSP5",7,2892127.794,166399.69,10.381,1.369,2994975.757,126971.397,6.432,0.602,3.949,0.326
"C","land_SSP5",8,2913940.344,160035.168,10.293,1.356,2995030.463,127345.732,6.432,0.602,3.949,0.327
"C","land_SSP5",9,2931134.274,154881.512,10.289,1.365,2994611.955,127136.129,6.432,0.602,3.949,0.326
"C","land_SSP5",10,2944422.455,150882.027,10.293,1.336,2994880.358,126958.314,6.432,0.602,3.949,0.326
"C","land_SSP5",11,2955191.674,146991.76,11.901,1.441,2729130.066,190056.403,6.699,0.535,4.525,0.361
"C","land_SSP5",12,2889468.05,144083.174,11.824,1.43,2729511.541,190130.156,6.699,0.535,4.526,0.361
"C","land_SSP5",13,2843674.603,149560.547,11.867,1.428,2729076.862,189872.368,6.699,0.535,4.525,0.361
"C","land_SSP5",14,2810875.624,156672.948,11.801,1.375,2728758.628,190020.401,6.699,0.535,4.525,0.361
"C","land_SSP5",15,2787567.154,163543.615,11.843,1.417,2729314.924,190273.112,6.699,0.535,4.525,0.36
"C","land_SSP5",16,2770972.789,169315.331,11.865,1.391,2729133.579,190422.459,6.699,0.535,4.525,0.36
"C","land_SSP5",17,2759019.303,174126.969,11.85,1.41,2729194.762,190162.985,6.699,0.535,4.525,0.36
"C","land_SSP5",18,2750590.62,177823.769,11.857,1.403,2729635.188,189610.576,6.699,0.535,4.526,0.36
"C","land_SSP5",19,2744429.4,180578.726,11.843,1.44,2729151.465,190586.272,6.699,0.535,4.525,0.36
"C","land_SSP5",20,2739961.08,182912.907,11.826,1.42,2729225.919,190092.847,6.699,0.535,4.525,0.361
"C","land_SSP5",21,2736860.198,184504.659,13.172,1.466,2413673.534,224839.634,6.562,0.428,5.029,0.389
"C","land_SSP5",22,2634094.557,196219.262,13.104,1.445,2413743.79,224968.456,6.562,0.428,5.029,0.389
"C","land_SSP5",23,2565385.105,206088.085,13.16,1.467,2413625.445,224782.299,6.562,0.428,5.029,0.389
"C","land_SSP5",24,2518569.822,212983.396,13.126,1.467,2413102.966,224635.775,6.562,0.428,5.028,0.389
"C","land_SSP5",25,2486197.525,217654.72,13.143,1.48,2413197.586,224755.737,6.562,0.428,5.028,0.389
"C","land_SSP5",26,2464025.797,220461.789,13.161,1.479,2413211.154,225169.1,6.562,0.428,5.028,0.389
"C","land_SSP5",27,2448676.873,222199.354,13.194,1.461,2413947.433,224727.684,6.562,0.428,5.029,0.389
"C","land_SSP5",28,2438124.03,223251.344,13.142,1.457,2413535.097,224900.919,6.562,0.428,5.029,0.389
"C","land_SSP5",29,2430617.133,224059.005,13.187,1.503,2413508.49,224774.041,6.562,0.428,5.029,0.389
"C","land_SSP5",30,2425617.177,224454.163,13.157,1.506,2413778.219,224949.231,6.562,0.428,5.029,0.389
"C","land_SSP5",31,2422157.97,224727.594,14.58,1.503,1933399.447,299721.52,5.802,0.585,5.573,0.415
"C","land_SSP5",32,2245571.889,261098.189,14.582,1.503,1933443.319,299563.959,5.802,0.585,5.573,0.415
"C","land_SSP5",33,2136381.147,280754.824,14.563,1.537,1933802.525,299986.875,5.802,0.585,5.574,0.415
"C","land_SSP5",34,2066960.837,291340.755,14.636,1.561,1933511.648,299884.794,5.802,0.585,5.573,0.415
"C","land_SSP5",35,2021808.511,296724.782,14.606,1.512,1933672.799,299899.272,5.802,0.585,5.573,0.415
"C","land_SSP5",36,1992371.636,299437.979,14.59,1.499,1933889.416,299921.786,5.802,0.585,5.574,0.415
"C","land_SSP5",37,1973067.233,300704.479,14.607,1.545,1933884.597,300239.955,5.802,0.585,5.574,0.414
"C","land_SSP5",38,1960143.429,301251.549,14.614,1.544,1933584.545,300100.577,5.802,0.585,5.573,0.415
"C","land_SSP5",39,1951356.43,301318.758,14.586,1.492,1933896.172,299822.236,5.802,0.585,5.574,0.415
"C","land_SSP5",40,1945673.354,301097.11,14.564,1.459,1933672.855,300138.883,5.802,0.585,5.573,0.414
"D","clim_SSP1",1,176446.628,185196.217,8.846,1.161,2994723.387,127086.229,5.513,0.516,1.692,0.14
"D","clim_SSP1",2,379947.361,31765.369,8.843,1.149,2994556.684,126967.142,5.513,0.516,1.692,0.14
"D","clim_SSP1",3,389914.869,29517.833,8.919,1.167,2995004.699,127025.335,5.513,0.516,1.693,0.14
"D","clim_SSP1",4,397912.864,27617.737,8.86,1.198,2994957.176,127228.482,5.513,0.516,1.693,0.14
"D","clim_SSP1",5,404247.371,26115.007,8.833,1.156,2994468.078,126889.916,5.513,0.516,1.692,0.14
"D","clim_SSP1",6,409221.094,24795.542,8.842,1.166,2994577.601,127314.945,5.513,0.516,1.692,0.14
"D","clim_SSP1",7,413161.113,23771.384,8.898,1.173,2994975.757,126971.397,5.513,0.516,1.693,0.14
"D","clim_SSP1",8,416277.192,22862.167,8.823,1.162,2995030.463,127345.732,5.513,0.516,1.693,0.14
"D","clim_SSP1",9,418733.468,22125.93,8.819,1.17,2994611.955,127136.129,5.513,0.516,1.692,0.14
"D","clim_SSP1",10,420631.779,21554.575,8.822,1.145,2994880.358,126958.314,5.513,0.516,1.693,0.14
"D","clim_SSP1",11,422170.239,20998.823,10.2,1.235,2729130.066,190056.403,5.742,0.459,1.939,0.155
"D","clim_SSP1",12,412781.15,20583.311,10.135,1.226,2729511.541,190130.156,5.742,0.459,1.94,0.155
"D","clim_SSP1",13,406239.229,21365.792,10.172,1.224,2729076.862,189872.368,5.742,0.459,1.939,0.155
"D","clim_SSP1",14,401553.661,22381.85,10.115,1.178,2728758.628,190020.401,5.742,0.459,1.939,0.155
"D","clim_SSP1",15,398223.879,23363.374,10.151,1.215,2729314.924,190273.112,5.742,0.459,1.939,0.154
"D","clim_SSP1",16,395853.256,24187.904,10.17,1.192,2729133.579,190422.459,5.742,0.459,1.939,0.154
"D","clim_SSP1",17,394145.615,24875.281,10.157,1.208,2729194.762,190162.985,5.742,0.459,1.939,0.154
"D","clim_SSP1",18,392941.517,25403.396,10.163,1.203,2729635.188,189610.576,5.742,0.459,1.94,0.154
"D","clim_SSP1",19,392061.343,25796.961,10.151,1.234,2729151.465,190586.272,5.742,0.459,1.939,0.154
"D","clim_SSP1",20,391423.011,26130.415,10.136,1.217,2729225.919,190092.847,5.742,0.459,1.939,0.155
"D","clim_SSP1",21,390980.028,26357.808,11.29,1.257,2413673.534,224839.634,5.624,0.367,2.155,0.167
"D","clim_SSP1",22,376299.222,28031.323,11.232,1.239,2413743.79,224968.456,5.624,0.367,2.155,0.167
"D","clim_SSP1",23,366483.586,29441.155,11.28,1.258,2413625.445,224782.299,5.624,0.367,2.155,0.167
"D","clim_SSP1",24,359795.689,30426.199,11.251,1.257,2413102.966,224635.775,5.624,0.367,2.155,0.167
"D","clim_SSP1",25,355171.075,31093.531,11.266,1.268,2413197.586,224755.737,5.624,0.367,2.155,0.167
"D","clim_SSP1",26,352003.685,31494.541,11.281,1.268,2413211.154,225169.1,5.624,0.367,2.155,0.167
"D","clim_SSP1",27,349810.982,31742.765,11.309,1.253,2413947.433,224727.684,5.624,0.367,2.155,0.167
"D","clim_SSP1",28,348303.433,31893.049,11.264,1.249,2413535.097,224900.919,5.624,0.367,2.155,0.167
"D","clim_SSP1",29,347231.019,32008.429,11.303,1.288,2413508.49,224774.041,5.624,0.367,2.155,0.167
"D","clim_SSP1",30,346516.74,32064.88,11.277,1.291,2413778.219,224949.231,5.624,0.367,2.155,0.167
"D","clim_SSP1",31,346022.567,32103.942,12.497,1.288,1933399.447,299721.52,4.973,0.502,2.389,0.178
"D","clim_SSP1",32,320795.984,37299.741,12.499,1.288,1933443.319,299563.959,4.973,0.502,2.389,0.178
"D","clim_SSP1",33,305197.307,40107.832,12.483,1.317,1933802.525,299986.875,4.973,0.502,2.389,0.178
"D","clim_SSP1",34,295280.12,41620.108,12.545,1.338,1933511.648,299884.794,4.973,0.502,2.389,0.178
"D","clim_SSP1",35,288829.787,42389.255,12.52,1.296,1933672.799,299899.272,4.973,0.502,2.389,0.178
"D","clim_SSP1",36,284624.519,42776.854,12.506,1.285,1933889.416,299921.786,4.973,0.502,2.389,0.178
"D","clim_SSP1",37,281866.748,42957.783,12.52,1.324,1933884.597,300239.955,4.973,0.502,2.389,0.178
"D","clim_SSP1",38,280020.49,43035.936,12.526,1.324,1933584.545,300100.577,4.973,0.502,2.389,0.178
"D","clim_SSP1",39,278765.204,43045.537,12.503,1.279,1933896.172,299822.236,4.973,0.502,2.389,0.178
"D","clim_SSP1",40,277953.336,43013.873,12.483,1.251,1933672.855,300138.883,4.973,0.502,2.389,0.178
"D","clim_SSP5",1,294077.713,308660.361,14.743,1.935,4991205.644,211810.382,9.188,0.859,2.821,0.233
"D","clim_SSP5",2,633245.602,52942.282,14.738,1.915,4990927.807,211611.903,9.188,0.859,2.821,0.233
"D","clim_SSP5",3,649858.116,49196.389,14.866,1.944,4991674.499,211708.891,9.188,0.859,2.821,0.233
"D","clim_SSP5",4,663188.107,46029.562,14.767,1.997,4991595.293,212047.47,9.188,0.859,2.821,0.233
"D","clim_SSP5",5,673745.618,43525.012,14.722,1.926,4990780.13,211483.193,9.188,0.859,2.821,0.233
"D","clim_SSP5",6,682035.157,41325.903,14.737,1.944,4990962.668,212191.575,9.188,0.859,2.821,0.233
"D","clim_SSP5",7,688601.856,39618.974,14.831,1.955,4991626.262,211618.995,9.188,0.859,2.821,0.233
"D","clim_SSP5",8,693795.32,38103.611,14.704,1.937,4991717.438,212242.887,9.188,0.859,2.821,0.233
"D","clim_SSP5",9,697889.113,36876.55,14.699,1.951,4991019.925,211893.549,9.188,0.859,2.821,0.233
"D","clim_SSP5",10,701052.966,35924.292,14.704,1.908,4991467.264,211597.191,9.188,0.859,2.821,0.233
"D","clim_SSP5",11,703617.065,34998.038,17.001,2.058,4548550.11,316760.672,9.57,0.765,3.232,0.258
"D","clim_SSP5",12,687968.583,34305.518,16.892,2.043,4549185.902,316883.594,9.57,0.765,3.233,0.258
"D","clim_SSP5",13,677065.382,35609.654,16.953,2.04,4548461.436,316453.946,9.57,0.765,3.232,0.258
"D","clim_SSP5",14,669256.101,37303.083,16.858,1.964,4547931.046,316700.668,9.57,0.765,3.232,0.258
"D","clim_SSP5",15,663706.465,38938.956,16.919,2.025,4548858.206,317121.854,9.57,0.765,3.232,0.257
"D","clim_SSP5",16,659755.426,40313.174,16.949,1.987,4548555.964,317370.766,9.57,0.765,3.232,0.257
"D","clim_SSP5",17,656909.358,41458.802,16.929,2.014,4548657.937,316938.308,9.57,0.765,3.232,0.257
"D","clim_SSP5",18,654902.529,42338.993,16.938,2.004,4549391.979,316017.627,9.57,0.765,3.233,0.257
"D","clim_SSP5",19,653435.571,42994.935,16.919,2.057,4548585.774,317643.787,9.57,0.765,3.232,0.257
"D","clim_SSP5",20,652371.686,43550.692,16.894,2.029,4548709.865,316821.411,9.57,0.765,3.232,0.258
"D","clim_SSP5",21,651633.38,43929.681,18.817,2.094,4022789.223,374732.723,9.374,0.612,3.592,0.278
"D","clim_SSP5",22,627165.371,46718.872,18.72,2.064,4022906.317,374947.426,9.374,0.612,3.592,0.278
"D","clim_SSP5",23,610805.977,49068.592,18.801,2.096,4022709.075,374637.165,9.374,0.612,3.592,0.278
"D","clim_SSP5",24,599659.481,50710.332,18.752,2.095,4021838.277,374392.958,9.374,0.612,3.592,0.278
"D","clim_SSP5",25,591951.792,51822.552,18.776,2.114,4021995.977,374592.895,9.374,0.612,3.592,0.278
"D","clim_SSP5",26,586672.809,52490.902,18.802,2.113,4022018.59,375281.834,9.374,0.612,3.592,0.278
"D","clim_SSP5",27,583018.303,52904.608,18.849,2.088,4023245.722,374546.139,9.374,0.612,3.592,0.278
"D","clim_SSP5",28,580505.722,53155.082,18.774,2.082,4022558.495,374834.865,9.374,0.612,3.592,0.278
"D","clim_SSP5",29,578718.365,53347.382,18.839,2.147,4022514.15,374623.401,9.374,0.612,3.592,0.278
"D","clim_SSP5",30,577527.899,53441.467,18.795,2.151,4022963.698,374915.384,9.374,0.612,3.592,0.278
"D","clim_SSP5",31,576704.278,53506.57,20.829,2.147,3222332.412,499535.866,8.289,0.836,3.981,0.296
"D","clim_SSP5",32,534659.974,62166.235,20.832,2.147,3222405.532,499273.265,8.289,0.836,3.981,0.296
"D","clim_SSP5",33,508662.178,66846.387,20.804,2.195,3223004.208,499978.125,8.289,0.836,3.981,0.296
"D","clim_SSP5",34,492133.533,69366.846,20.909,2.23,3222519.413,499807.99,8.289,0.836,3.981,0.296
"D","clim_SSP5",35,481382.979,70648.758,20.866,2.16,3222787.999,499832.12,8.289,0.836,3.981,0.296
"D","clim_SSP5",36,474374.199,71294.757,20.843,2.141,3223149.027,499869.643,8.289,0.836,3.981,0.296
"D","clim_SSP5",37,469777.913,71596.304,20.867,2.207,3223140.995,500399.925,8.289,0.836,3.981,0.296
"D","clim_SSP5",38,466700.816,71726.559,20.877,2.206,3222640.909,500167.628,8.289,0.836,3.981,0.296
"D","clim_SSP5",39,464608.674,71742.561,20.838,2.131,3223160.287,499703.727,8.289,0.836,3.981,0.296
"D","clim_SSP5",40,463255.56,71689.788,20.806,2.085,3222788.091,500231.471,8.289,0.836,3.981,0.296
"D","clim_land_SSP1",1,411708.798,432124.505,20.64,2.708,6987687.902,296534.535,12.864,1.203,3.949,0.326
"D","clim_land_SSP1",2,886543.843,74119.194,20.633,2.681,6987298.929,296256.664,12.864,1.203,3.949,0.326
"D","clim_land_SSP1",3,909801.362,68874.945,20.812,2.722,6988344.299,296392.448,12.864,1.203,3.949,0.327
"D","clim_land_SSP1",4,928463.35,64441.387,20.674,2.796,6988233.411,296866.458,12.864,1.203,3.949,0.327
"D","clim_land_SSP1",5,943243.865,60935.017,20.611,2.696,6987092.182,296076.47,12.864,1.203,3.949,0.326
"D","clim_land_SSP1",6,954849.219,57856.264,20.632,2.722,6987347.735,297068.205,12.864,1.203,3.949,0.326
"D","clim_land_SSP1",7,964042.598,55466.563,20.763,2.738,6988276.767,296266.593,12.864,1.203,3.949,0.326
"D","clim_land_SSP1",8,971313.448,53345.056,20.586,2.712,6988404.414,297140.042,12.864,1.203,3.949,0.327
"D","clim_land_SSP1",9,977044.758,51627.171,20.578,2.731,6987427.895,296650.968,12.864,1.203,3.949,0.326
"D","clim_land_SSP1",10,981474.152,50294.009,20.586,2.671,6988054.169,296236.067,12.864,1.203,3.949,0.326
"D","clim_land_SSP1",11,985063.891,48997.253,23.801,2.882,6367970.154,443464.941,13.398,1.07,4.525,0.361
"D","clim_land_SSP1",12,963156.017,48027.725,23.648,2.86,6368860.263,443637.032,13.398,1.07,4.526,0.361
"D","clim_land_SSP1",13,947891.534,49853.516,23.734,2.856,6367846.011,443035.524,13.398,1.07,4.525,0.361
"D","clim_land_SSP1",14,936958.541,52224.316,23.602,2.749,6367103.464,443380.936,13.398,1.07,4.525,0.361
"D","clim_land_SSP1",15,929189.051,54514.538,23.686,2.835,6368401.489,443970.595,13.398,1.07,4.525,0.36
"D","clim_land_SSP1",16,923657.596,56438.444,23.729,2.781,6367978.35,444319.072,13.398,1.07,4.525,0.36
"D","clim_land_SSP1",17,919673.101,58042.323,23.701,2.82,6368121.112,443713.631,13.398,1.07,4.525,0.36
"D","clim_land_SSP1",18,916863.54,59274.59,23.714,2.806,6369148.771,442424.678,13.398,1.07,4.526,0.36
"D","clim_land_SSP1",19,914809.8,60192.909,23.687,2.88,6368020.084,444701.301,13.398,1.07,4.525,0.36
"D","clim_land_SSP1",20,913320.36,60970.969,23.652,2.841,6368193.812,443549.975,13.398,1.07,4.525,0.361
"D","clim_land_SSP1",21,912286.733,61501.553,26.343,2.932,5631904.913,524625.812,13.123,0.857,5.029,0.389
"D","clim_land_SSP1",22,878031.519,65406.421,26.208,2.89,5632068.844,524926.397,13.123,0.857,5.029,0.389
"D","clim_land_SSP1",23,855128.368,68696.028,26.321,2.935,5631792.706,524492.031,13.123,0.857,5.029,0.389
"D","clim_land_SSP1",24,839523.274,70994.465,26.253,2.933,5630573.587,524150.142,13.123,0.857,5.028,0.389
"D","clim_land_SSP1",25,828732.508,72551.573,26.287,2.96,5630794.368,524430.053,13.123,0.857,5.028,0.389
"D","clim_land_SSP1",26,821341.932,73487.263,26.323,2.959,5630826.026,525394.567,13.123,0.857,5.028,0.389
"D","clim_land_SSP1",27,816225.624,74066.451,26.388,2.923,5632544.01,524364.595,13.123,0.857,5.029,0.389
"D","clim_land_SSP1",28,812708.01,74417.115,26.284,2.914,5631581.893,524768.811,13.123,0.857,5.029,0.389
"D","clim_land_SSP1",29,810205.711,74686.335,26.375,3.006,5631519.811,524472.761,13.123,0.857,5.029,0.389
"D","clim_land_SSP1",30,808539.059,74818.054,26.314,3.012,5632149.177,524881.538,13.123,0.857,5.029,0.389
"D","clim_land_SSP1",31,807385.99,74909.198,29.16,3.006,4511265.376,699350.212,11.604,1.17,5.573,0.415
"D","clim_land_SSP1",32,748523.963,87032.73,29.164,3.005,4511367.744,698982.571,11.604,1.17,5.573,0.415
"D","clim_land_SSP1",33,712127.049,93584.941,29.126,3.074,4512205.891,699969.375,11.604,1.17,5.574,0.415
"D","clim_land_SSP1",34,688986.946,97113.585,29.272,3.122,4511527.178,699731.186,11.604,1.17,5.573,0.415
"D","clim_land_SSP1",35,673936.17,98908.261,29.212,3.024,4511903.198,699764.968,11.604,1.17,5.573,0.415
"D","clim_land_SSP1",36,664123.879,99812.66,29.18,2.998,4512408.638,699817.5,11.604,1.17,5.574,0.415
"D","clim_land_SSP1",37,657689.078,100234.826,29.213,3.09,4512397.393,700559.895,11.604,1.17,5.574,0.414
"D","clim_land_SSP1",38,653381.143,100417.183,29.228,3.089,4511697.273,700234.68,11.604,1.17,5.573,0.415
"D","clim_land_SSP1",39,650452.143,100439.586,29.173,2.984,4512424.402,699585.218,11.604,1.17,5.574,0.415
"D","clim_land_SSP1",40,648557.785,100365.703,29.128,2.919,4511903.328,700324.06,11.604,1.17,5.573,0.414
"D","clim_land_SSP5",1,29407.771,30866.036,1.474,0.193,499120.564,21181.038,0.919,0.086,0.282,0.023
"D","clim_land_SSP5",2,63324.56,5294.228,1.474,0.191,499092.781,21161.19,0.919,0.086,0.282,0.023
"D","clim_land_SSP5",3,64985.812,4919.639,1.487,0.194,499167.45,21170.889,0.919,0.086,0.282,0.023
"D","clim_land_SSP5",4,66318.811,4602.956,1.477,0.2,499159.529,21204.747,0.919,0.086,0.282,0.023
"D","clim_land_SSP5",5,67374.562,4352.501,1.472,0.193,499078.013,21148.319,0.919,0.086,0.282,0.023
"D","clim_land_SSP5",6,68203.516,4132.59,1.474,0.194,499096.267,21219.158,0.919,0.086,0.282,0.023
"D","clim_land_SSP5",7,68860.186,3961.897,1.483,0.196,499162.626,21161.899,0.919,0.086,0.282,0.023
"D","clim_land_SSP5",8,69379.532,3810.361,1.47,0.194,499171.744,21224.289,0.919,0.086,0.282,0.023
"D","clim_land_SSP5",9,69788.911,3687.655,1.47,0.195,499101.992,21189.355,0.919,0.086,0.282,0.023
"D","clim_land_SSP5",10,70105.297,3592.429,1.47,0.191,499146.726,21159.719,0.919,0.086,0.282,0.023
"D","clim_land_SSP5",11,70361.707,3499.804,1.7,0.206,454855.011,31676.067,0.957,0.076,0.323,0.026
"D","clim_land_SSP5",12,68796.858,3430.552,1.689,0.204,454918.59,31688.359,0.957,0.076,0.323,0.026
"D","clim_land_SSP5",13,67706.538,3560.965,1.695,0.204,454846.144,31645.395,0.957,0.076,0.323,0.026
"D","clim_land_SSP5",14,66925.61,3730.308,1.686,0.196,454793.105,31670.067,0.957,0.076,0.323,0.026
"D","clim_land_SSP5",15,66370.647,3893.896,1.692,0.202,454885.821,31712.185,0.957,0.076,0.323,0.026
"D","clim_land_SSP5",16,65975.543,4031.317,1.695,0.199,454855.596,31737.077,0.957,0.076,0.323,0.026
"D","clim_land_SSP5",17,65690.936,4145.88,1.693,0.201,454865.794,31693.831,0.957,0.076,0.323,0.026
"D","clim_land_SSP5",18,65490.253,4233.899,1.694,0.2,454939.198,31601.763,0.957,0.076,0.323,0.026
"D","clim_land_SSP5",19,65343.557,4299.493,1.692,0.206,454858.577,31764.379,0.957,0.076,0.323,0.026
"D","clim_land_SSP5",20,65237.169,4355.069,1.689,0.203,454870.987,31682.141,0.957,0.076,0.323,0.026
"D","clim_land_SSP5",21,65163.338,4392.968,1.882,0.209,402278.922,37473.272,0.937,0.061,0.359,0.028
"D","clim_land_SSP5",22,62716.537,4671.887,1.872,0.206,402290.632,37494.743,0.937,0.061,0.359,0.028
"D","clim_land_SSP5",23,61080.598,4906.859,1.88,0.21,402270.908,37463.716,0.937,0.061,0.359,0.028
"D","clim_land_SSP5",24,59965.948,5071.033,1.875,0.21,402183.828,37439.296,0.937,0.061,0.359,0.028
"D","clim_land_SSP5",25,59195.179,5182.255,1.878,0.211,402199.598,37459.29,0.937,0.061,0.359,0.028
"D","clim_land_SSP5",26,58667.281,5249.09,1.88,0.211,402201.859,37528.183,0.937,0.061,0.359,0.028
"D","clim_land_SSP5",27,58301.83,5290.461,1.885,0.209,402324.572,37454.614,0.937,0.061,0.359,0.028
"D","clim_land_SSP5",28,58050.572,5315.508,1.877,0.208,402255.85,37483.486,0.937,0.061,0.359,0.028
"D","clim_land_SSP5",29,57871.836,5334.738,1.884,0.215,402251.415,37462.34,0.937,0.061,0.359,0.028
"D","clim_land_SSP5",30,57752.79,5344.147,1.88,0.215,402296.37,37491.538,0.937,0.061,0.359,0.028
"D","clim_land_SSP5",31,57670.428,5350.657,2.083,0.215,322233.241,49953.587,0.829,0.084,0.398,0.03
"D","clim_land_SSP5",32,53465.997,6216.624,2.083,0.215,322240.553,49927.326,0.829,0.084,0.398,0.03
"D","clim_land_SSP5",33,50866.218,6684.639,2.08,0.22,322300.421,49997.812,0.829,0.084,0.398,0.03
"D","clim_land_SSP5",34,49213.353,6936.685,2.091,0.223,322251.941,49980.799,0.829,0.084,0.398,0.03
"D","clim_land_SSP5",35,48138.298,7064.876,2.087,0.216,322278.8,49983.212,0.829,0.084,0.398,0.03
"D","clim_land_SSP5",36,47437.42,7129.476,2.084,0.214,322314.903,49986.964,0.829,0.084,0.398,0.03
"D","clim_land_SSP5",37,46977.791,7159.63,2.087,0.221,322314.1,50039.992,0.829,0.084,0.398,0.03
"D","clim_land_SSP5",38,46670.082,7172.656,2.088,0.221,322264.091,50016.763,0.829,0.084,0.398,0.03
"D","clim_land_SSP5",39,46460.867,7174.256,2.084,0.213,322316.029,49970.373,0.829,0.084,0.398,0.03
"D","clim_land_SSP5",40,46325.556,7168.979,2.081,0.208,322278.809,50023.147,0.829,0.084,0.398,0.03
"D","controlRun",1,58815.543,61732.072,2.949,0.387,998241.129,42362.076,1.838,0.172,0.564,0.047
"D","controlRun",2,126649.12,10588.456,2.948,0.383,998185.561,42322.381,1.838,0.172,0.564,0.047
"D","controlRun",3,129971.623,9839.278,2.973,0.389,998334.9,42341.778,1.838,0.172,0.564,0.047
"D","controlRun",4,132637.621,9205.912,2.953,0.399,998319.059,42409.494,1.838,0.172,0.564,0.047
"D","controlRun",5,134749.124,8705.002,2.944,0.385,998156.026,42296.639,1.838,0.172,0.564,0.047
"D","controlRun",6,136407.031,8265.181,2.947,0.389,998192.534,42438.315,1.838,0.172,0.564,0.047
