"","species","seed_number","mean_dist_m","max_dist_m","growth_rate_mm","wetmass_g","mortality","drymass_g"
"82","Rhodiola rosea",440,2,15,0.25,NA,NA,2.6917
"83","Rubus idaeus",590.175,400,1500,0.8,NA,NA,2.16704333333333
"84","Rumex acetosa",537.133333333333,1,5,1,NA,NA,0.998944082432432
"85","Rumex acetosella",2666.8,0.1,1,0.4,NA,NA,3.22134909090909
"86","Rumex crispus",12122.5555555556,1,5,3.5,NA,NA,0.434802857142857
"87","Rumex longifolius",7151.75,1,5,1,NA,NA,1.648125
"88","Rumex obtusifolius",17735.7142857143,1,5,0.45,0.213466666666667,-0.752535028826188,5.0369675
"89","Rumex thyrsiflorus",1385,1,5,2.4,NA,NA,0.4958
"90","Sagina nodosa",140,0.1,1,0.15,NA,NA,0.177
"91","Salix alba",148288,10,500,1.2,NA,NA,0.63535
"92","Salix aurita",2039099,10,500,2,NA,NA,703.3945975
"93","Salix caprea",8903450.5,10,500,4,NA,NA,20845.55446
"94","Salix reticulata",3060,10,500,0.1,16.95,-5.36723344119747e-10,NA
"95","Salix viminalis",12410000,10,500,8,NA,NA,1.15245
"96","Salvia pratensis",3352.5,1,5,1,NA,NA,0.1958
"97","Saxifraga oppositifolia",575,0.1,1,0.425,NA,NA,0.0606288095238096
"98","Scrophularia nodosa",10780.8888888889,1,5,1.2,NA,NA,0.31782875
"99","Senecio vulgaris",8741.16666666667,10,500,3,6.8,-8.05363715071347e-05,5.78322222222222
"100","Sibbaldia procumbens",64,0.1,1,0.2,NA,NA,2.9668
"101","Silene dioica",3892.92,1,5,0.6,NA,NA,0.194066666666667
"102","Silene vulgaris",4055.5,1,5,0.375,NA,NA,0.531332857142857
"103","Sinapis alba",933.5,1,5,6,NA,NA,0.596281666666667
"104","Sisymbrium officinale",2700,1,5,0.8,NA,NA,3.87125
"105","Solanum dulcamara",53459,400,1500,0.5,NA,NA,2.76629444444444
"106","Solanum nigrum",31723.1666666667,400,1500,2,14.2,-2.8232421102196e-09,NA
"107","Solanum tuberosum",3900,400,1500,1,NA,NA,48
"108","Solidago canadensis",9914,10,500,2,0.100883333333333,-0.871692180729324,0.0532833333333333
"109","Sonchus arvensis",10126.4285714286,10,500,0.5,NA,NA,35.5133333333333
"110","Sonchus asper",47470.5333333333,10,500,1.6,10.9,-2.73871029614695e-07,11.145125
"111","Sorbus aucuparia",24750,400,1500,0.65,NA,NA,8093.55156380952
"112","Stellaria media",14000,0.1,1,0.5,1,-0.25,2.78062
"113","Succisa pratensis",656.25,1,5,0.2,NA,NA,1.116446
"114","Tanacetum vulgare",6686,1,5,0.6,NA,NA,0.049225
"115","Thymus serpyllum",107,0.1,1,0.09,NA,NA,0.434
"116","Trifolium arvense",268,0.1,1,1,NA,NA,0.0235
"117","Trifolium campestre",142.5,0.1,1,0.4,NA,NA,0.027
"118","Trifolium incarnatum",1029,1,5,1.4,NA,NA,0.133666666666667
"119","Trifolium pratense",530,1,5,0.56,0.0352,-0.952373907319402,5.69276333333333
"120","Trifolium repens",421.333333333333,0.1,1,1.3,NA,NA,NA
"121","Urtica dioica",6006.7,1,5,1,NA,NA,1.16780595238095
"122","Valeriana officinalis",398,1,5,2.5,NA,NA,0.3843
"123","Verbascum thapsus",149000,1,5,1.65,NA,NA,0.1589
"124","Veronica arvensis",4964.375,0.1,1,0.3,NA,NA,1.84233333333333
"125","Veronica chamaedrys",59.8,0.1,1,0.5,NA,NA,0.457917073837209
"126","Vicia cracca",154.25,1,5,0.8,NA,NA,0.395233333333333
"127","Vicia hirsuta",168.48,1,5,0.6,NA,NA,17.498625
"128","Vicia sativa",199.833333333333,1,5,1,NA,NA,32.061
"129","Vicia sepium",76.5,1,5,0.6,NA,NA,0.25595
"130","Vicia villosa",250,1,5,0.5,NA,NA,4.64304
"131","Viola tricolor",1328.28,2,15,0.3,NA,NA,0.034
