SeqID;Taxon;Aggr.;Genus;Family;Plant height (m);Tree;Shrub;Tumbleweed;Seed mass (mg);Dusty seeds and spores;Habitat preferences of anemochorous species (other than trees);Origin outside Europe;Weed;Crop, seed mixture, ornamental;Efficient dispersal mode - common;Dispersal distance class (1-6);Efficient dispersal mode - anthropogenic;Dispersal distance class (7)
1;Abies alba;;Abies;Pinaceae;38;1;;;72,9;;;;;;Anemochory;4;Anthropochory;7
2;Abies balsamea;;Abies;Pinaceae;29;1;;;7,6;;;neo;;;Anemochory;4;Anthropochory;7
3;Abies borisii-regis;;Abies;Pinaceae;30;1;;;56,0;;;;;;Anemochory;4;;
4;Abies cephalonica;;Abies;Pinaceae;31;1;;;71,4;;;;;;Anemochory;4;;
5;Abies cilicica;;Abies;Pinaceae;25;1;;;115,4;;;;;;Anemochory;4;;
6;Abies concolor;;Abies;Pinaceae;38;1;;;33,4;;;neo;;;Anemochory;4;Anthropochory;7
7;Abies grandis;;Abies;Pinaceae;53;1;;;20,0;;;neo;;;Anemochory;4;Anthropochory;7
8;Abies homolepis;;Abies;Pinaceae;35;1;;;15,8;;;neo;;;Anemochory;4;Anthropochory;7
9;Abies nebrodensis;;Abies;Pinaceae;9;1;;;;;;;;;Anemochory;4;;
10;Abies nordmanniana;;Abies;Pinaceae;35;1;;;72,6;;;;;;Anemochory;4;Anthropochory;7
11;Abies pinsapo;;Abies;Pinaceae;25;1;;;55,5;;;;;;Anemochory;4;;
12;Abies procera;;Abies;Pinaceae;70;1;;;33,5;;;neo;;;Anemochory;4;Anthropochory;7
13;Abies sibirica;;Abies;Pinaceae;18;1;;;10,0;;;;;;Anemochory;4;;
14;Abutilon theophrasti;;Abutilon;Malvaceae;1,2;;;;9,8;;;;1;;Local non-specific dispersal;2;Anthropochory;7
15;Acacia cyclops;;Acacia;Fabaceae;3,7;;1;;26,7;;;;;;Myrmecochory;3;;
16;Acacia dealbata;;Acacia;Fabaceae;16;1;;;12,5;;;neo;;;Myrmecochory;3;Anthropochory;7
17;Acacia karroo;;Acacia;Fabaceae;2,5;1;1;;19,2;;;neo;;;Myrmecochory;3;Anthropochory;7
18;Acacia mearnsii;;Acacia;Fabaceae;9;1;;;13,5;;;neo;;;Myrmecochory;3;Anthropochory;7
19;Acacia melanoxylon;;Acacia;Fabaceae;19;1;;;13,2;;;neo;;;Myrmecochory;3;Anthropochory;7
20;Acacia retinodes;;Acacia;Fabaceae;4,9;1;1;;15,3;;;neo;;;Myrmecochory;3;Anthropochory;7
21;Acacia saligna;;Acacia;Fabaceae;4,0;1;1;;14,2;;;neo;;;Myrmecochory;3;Anthropochory;7
22;Acalypha virginica;;Acalypha;Euphorbiaceae;0,21;;;;0,6;;;neo;;;Myrmecochory;3;Anthropochory;7
23;Acantholimon ulicinum;;Acantholimon;Plumbaginaceae;<0,3;;;;;;;;;;Local non-specific dispersal;1;;
24;Acanthus dioscoridis;;Acanthus;Acanthaceae;;;;;;;;;;;Local non-specific dispersal;;;
25;Acanthus hirsutus;;Acanthus;Acanthaceae;;;;;135,2;;;;;;Local non-specific dispersal;;;
26;Acanthus hungaricus;;Acanthus;Acanthaceae;0,45;;;;;;;;;;Local non-specific dispersal;2;;
27;Acanthus mollis;;Acanthus;Acanthaceae;0,80;;;;206,8;;;;;;Local non-specific dispersal;2;;
28;Acanthus spinosus;;Acanthus;Acanthaceae;0,67;;;;;;;;;;Local non-specific dispersal;2;;
29;Acer campestre;;Acer;Sapindaceae;15;1;;;73,6;;;;;1;Anemochory;4;Anthropochory;7
30;Acer cappadocicum;Acer cappadocicum aggr.;Acer;Sapindaceae;23;1;;;84,2;;;;;;Anemochory;4;;
31;Acer cappadocicum aggr.;Acer cappadocicum aggr.;Acer;Sapindaceae;19;1;;;;;;;;;Anemochory;4;;
32;Acer divergens;;Acer;Sapindaceae;;1;;;;;;;;;Anemochory;4;;
33;Acer ginnala;;Acer;Sapindaceae;3,8;;1;;26,7;;Open_habitats;neo;;;Anemochory;4;Anthropochory;7
34;Acer granatense;Acer opalus aggr.;Acer;Sapindaceae;15;1;;;39,4;;;;;;Anemochory;4;;
35;Acer heldreichii;;Acer;Sapindaceae;15;1;;;223,0;;;;;;Anemochory;4;;
36;Acer hyrcanum;;Acer;Sapindaceae;12;1;;;51,0;;;;;;Anemochory;4;;
37;Acer lobelii;Acer cappadocicum aggr.;Acer;Sapindaceae;10;1;;;147,0;;;;;;Anemochory;4;;
38;Acer monspessulanum;;Acer;Sapindaceae;10;1;;;38,6;;;;;;Anemochory;4;;
39;Acer negundo;;Acer;Sapindaceae;15;1;;;35,3;;;neo;;;Anemochory;4;Anthropochory;7
40;Acer obtusatum;Acer opalus aggr.;Acer;Sapindaceae;9;1;;;;;;;;;Anemochory;4;;
41;Acer opalus;Acer opalus aggr.;Acer;Sapindaceae;15;1;;;97,7;;;;;;Anemochory;4;;
42;Acer opalus aggr.;Acer opalus aggr.;Acer;Sapindaceae;15;1;;;;;;;;;Anemochory;4;;
43;Acer platanoides;;Acer;Sapindaceae;24;1;;;122,6;;;;;1;Anemochory;4;Anthropochory;7
44;Acer pseudoplatanus;;Acer;Sapindaceae;30;1;;;105,9;;;;;1;Anemochory;4;Anthropochory;7
45;Acer saccharinum;;Acer;Sapindaceae;30;1;;;39,1;;;neo;;;Anemochory;4;Anthropochory;7
46;Acer sempervirens;;Acer;Sapindaceae;;1;;;26,7;;;;;;Anemochory;4;;
47;Acer tataricum;;Acer;Sapindaceae;7;1;;;27,7;;;;;;Anemochory;4;Anthropochory;7
48;Acer trautvetteri;;Acer;Sapindaceae;15;1;;;89,0;;;;;;Anemochory;4;;
49;Acis autumnalis;;Acis;Amaryllidaceae;0,15;;;;;;;;;;Local non-specific dispersal;1;;
50;Acis longifolia;;Acis;Amaryllidaceae;;;;;;;;;;;Local non-specific dispersal;;;
51;Acis rosea;;Acis;Amaryllidaceae;0,09;;;;;;;;;;Local non-specific dispersal;1;;
52;Aconitum angustifolium;;Aconitum;Ranunculaceae;1,6;;;;;;;;;;Local non-specific dispersal;2;;
53;Aconitum anthora;;Aconitum;Ranunculaceae;0,63;;;;3,1;;;;;;Local non-specific dispersal;2;;
54;Aconitum besserianum;;Aconitum;Ranunculaceae;1,3;;;;;;;;;;Local non-specific dispersal;2;;
55;Aconitum burnatii;;Aconitum;Ranunculaceae;1,1;;;;;;;;;;Local non-specific dispersal;2;;
56;Aconitum degenii;;Aconitum;Ranunculaceae;1,1;;;;;;;;;;Local non-specific dispersal;2;;
57;Aconitum firmum;;Aconitum;Ranunculaceae;1,1;;;;2,5;;;;;;Local non-specific dispersal;2;;
58;Aconitum lasiocarpum;;Aconitum;Ranunculaceae;0,65;;;;;;;;;;Local non-specific dispersal;2;;
59;Aconitum lycoctonum;;Aconitum;Ranunculaceae;1,0;;;;3,6;;;;;;Local non-specific dispersal;2;;
60;Aconitum moldavicum;;Aconitum;Ranunculaceae;0,79;;;;;;;;;;Local non-specific dispersal;2;;
61;Aconitum napellus;Aconitum napellus aggr.;Aconitum;Ranunculaceae;0,82;;;;3,4;;;;;;Local non-specific dispersal;2;;
62;Aconitum napellus aggr.;Aconitum napellus aggr.;Aconitum;Ranunculaceae;0,88;;;;;;;;;;Local non-specific dispersal;2;;
63;Aconitum nemorum;;Aconitum;Ranunculaceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
64;Aconitum orientale;;Aconitum;Ranunculaceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
65;Aconitum plicatum;Aconitum napellus aggr.;Aconitum;Ranunculaceae;0,90;;;;;;;;;;Local non-specific dispersal;2;;
66;Aconitum tauricum;Aconitum napellus aggr.;Aconitum;Ranunculaceae;0,75;;;;2,6;;;;;;Local non-specific dispersal;2;;
67;Aconitum toxicum;;Aconitum;Ranunculaceae;2,0;;;;;;;;;;Local non-specific dispersal;2;;
68;Aconitum variegatum;;Aconitum;Ranunculaceae;1,2;;;;0,9;;;;;;Local non-specific dispersal;2;;
69;Aconitum x cammarum;;Aconitum;Ranunculaceae;1,2;;;;;;;;;;Local non-specific dispersal;2;;
70;Aconogonon alpinum;;Aconogonon;Polygonaceae;0,68;;;;;;;;;1;Local non-specific dispersal;2;Anthropochory;7
71;Aconogonon weyrichii;;Aconogonon;Polygonaceae;;;;;;;Open_habitats;;;;Anemochory;5;;
72;Acorus calamus;;Acorus;Acoraceae;0,77;;;;2,6;;;neo;;;Hydrochory;;Anthropochory;7
73;Actaea europaea;;Actaea;Ranunculaceae;1,4;;;;1,0;;;;;;Myrmecochory;3;;
74;Actaea spicata;;Actaea;Ranunculaceae;0,44;;;;108,8;;;;;;Endozoochory;6;;
75;Actinidia chinensis;;Actinidia;Actinidiaceae;5;;;;1,4;;;neo;;;Local non-specific dispersal;2;Anthropochory;7
76;Adenocarpus complicatus;;Adenocarpus;Fabaceae;1,2;;1;;6,3;;;;;;Local non-specific dispersal;2;;
77;Adenocarpus decorticans;;Adenocarpus;Fabaceae;>0,3;;1;;28,3;;;;;;Local non-specific dispersal;2;;
78;Adenocarpus foliolosus;;Adenocarpus;Fabaceae;>0,3;;1;;;;;;;;Local non-specific dispersal;2;;
79;Adenocarpus hispanicus;;Adenocarpus;Fabaceae;>0,3;;1;;40,0;;;;;;Local non-specific dispersal;2;;
80;Adenocarpus telonensis;;Adenocarpus;Fabaceae;0,70;;1;;7,0;;;;;;Local non-specific dispersal;2;;
81;Adenocarpus viscosus;;Adenocarpus;Fabaceae;>0,3;;1;;;;;;;;Local non-specific dispersal;2;;
82;Adenophora liliifolia;;Adenophora;Campanulaceae;0,70;;;;0,4;;;;;;Local non-specific dispersal;2;;
83;Adenostyles alliariae;;Adenostyles;Asteraceae;1,0;;;;1,1;;Open_habitats;;;;Anemochory;5;;
84;Adenostyles alpina;;Adenostyles;Asteraceae;0,76;;;;1,3;;Open_habitats;;;;Anemochory;5;;
85;Adenostyles leucophylla;;Adenostyles;Asteraceae;0,30;;;;1,3;;Open_habitats;;;;Anemochory;5;;
86;Adiantum capillus-veneris;;Adiantum;Pteridaceae;0,29;;;;0,2;1;Open_habitats;;;;Anemochory;5;;
87;Adiantum hispidulum;;Adiantum;Pteridaceae;;;;;;1;Open_habitats;;;;Anemochory;5;;
88;Adiantum reniforme;;Adiantum;Pteridaceae;;;;;;1;Open_habitats;;;;Anemochory;5;;
89;Adonis aestivalis;;Adonis;Ranunculaceae;0,35;;;;10,1;;;;1;;Local non-specific dispersal;2;Anthropochory;7
90;Adonis annua;;Adonis;Ranunculaceae;0,32;;;;10,1;;;;1;;Local non-specific dispersal;2;Anthropochory;7
91;Adonis apennina;;Adonis;Ranunculaceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
92;Adonis cretica;;Adonis;Ranunculaceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
93;Adonis distorta;;Adonis;Ranunculaceae;0,15;;;;22,3;;;;;;Local non-specific dispersal;1;;
94;Adonis flammea;;Adonis;Ranunculaceae;0,30;;;;6,9;;;;1;;Local non-specific dispersal;2;Anthropochory;7
95;Adonis microcarpa;;Adonis;Ranunculaceae;0,38;;;;;;;;1;;Local non-specific dispersal;2;Anthropochory;7
96;Adonis pyrenaica;;Adonis;Ranunculaceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
97;Adonis vernalis;;Adonis;Ranunculaceae;0,25;;;;10,6;;;;;;Local non-specific dispersal;1;;
98;Adonis volgensis;;Adonis;Ranunculaceae;0,24;;;;;;;;;;Local non-specific dispersal;1;;
99;Adonis x hybrida;;Adonis;Ranunculaceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
100;Adoxa moschatellina;;Adoxa;Viburnaceae;0,10;;;;38,2;;;;;;Endozoochory;6;;
101;Aegilops biuncialis;;Aegilops;Poaceae;0,14;;;;22,9;;;;;;Epizoochory;6;;
102;Aegilops caudata;;Aegilops;Poaceae;;;;;6,5;;;;;;Epizoochory;6;;
103;Aegilops columnaris;;Aegilops;Poaceae;;;;;15,0;;;;;;Epizoochory;6;;
104;Aegilops comosa;;Aegilops;Poaceae;;;;;6,6;;;;;;Epizoochory;6;;
105;Aegilops contracta;;Aegilops;Poaceae;;;;;;;;;;;Epizoochory;6;;
106;Aegilops crassa;;Aegilops;Poaceae;;;;;17,3;;;;;;Epizoochory;6;;
107;Aegilops cylindrica;;Aegilops;Poaceae;0,38;;;;29,9;;;;;;Epizoochory;6;;
108;Aegilops geniculata;;Aegilops;Poaceae;0,15;;;;29,1;;;;;;Epizoochory;6;;
109;Aegilops neglecta;;Aegilops;Poaceae;0,25;;;;20,2;;;;;;Epizoochory;6;;
110;Aegilops peregrina;;Aegilops;Poaceae;;;;;15,9;;;;;;Epizoochory;6;;
111;Aegilops speltoides;;Aegilops;Poaceae;0,39;;;;6,5;;;;;;Epizoochory;6;;
112;Aegilops triuncialis;;Aegilops;Poaceae;0,35;;;;11,7;;;;;;Epizoochory;6;;
113;Aegilops umbellulata;;Aegilops;Poaceae;;;;;12,3;;;;;;Epizoochory;6;;
114;Aegilops uniaristata;;Aegilops;Poaceae;0,21;;;;9,1;;;;;;Epizoochory;6;;
115;Aegilops ventricosa;;Aegilops;Poaceae;0,38;;;;30,9;;;;;;Epizoochory;6;;
116;Aegonychon calabrum;;Aegonychon;Boraginaceae;0,09;;;;;;;;;;Local non-specific dispersal;1;;
117;Aegonychon purpurocaeruleum;;Aegonychon;Boraginaceae;0,41;;;;14,9;;;;;;Local non-specific dispersal;2;;
118;Aegopodium podagraria;;Aegopodium;Apiaceae;0,75;;;;2,1;;;;;;Local non-specific dispersal;2;;
119;Aeluropus lagopoides;;Aeluropus;Poaceae;0,10;;;;;;;;;;Local non-specific dispersal;1;;
120;Aeluropus littoralis;;Aeluropus;Poaceae;0,33;;;;121,5;;;;;;Local non-specific dispersal;2;;
121;Aeluropus pungens;;Aeluropus;Poaceae;<0,3;;;;;;;;;;Local non-specific dispersal;1;;
122;Aeonium aizoon;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
123;Aeonium arboreum;;Aeonium;Crassulaceae;1,0;;1;;;;;;;;Local non-specific dispersal;2;;
124;Aeonium aureum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
125;Aeonium balsamiferum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
126;Aeonium canariense;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
127;Aeonium castello-paivae;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
128;Aeonium ciliatum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
129;Aeonium cuneatum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
130;Aeonium davidbramwellii;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
131;Aeonium decorum;;Aeonium;Crassulaceae;0,60;;;;;;;;;;Local non-specific dispersal;2;;
132;Aeonium diplocyclum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
133;Aeonium glandulosum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
134;Aeonium glutinosum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
135;Aeonium gomerense;;Aeonium;Crassulaceae;0,33;;;;;;;;;;Local non-specific dispersal;2;;
136;Aeonium haworthii;;Aeonium;Crassulaceae;0,60;;;;;;;;;;Local non-specific dispersal;2;;
137;Aeonium holochrysum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
138;Aeonium lancerottense;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
139;Aeonium lindleyi;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
140;Aeonium manriqueorum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
141;Aeonium nobile;;Aeonium;Crassulaceae;;;;;0,0;;;;;;Local non-specific dispersal;;;
142;Aeonium palmense;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
143;Aeonium percarneum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
144;Aeonium pseudourbicum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
145;Aeonium rubrolineatum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
146;Aeonium simsii;;Aeonium;Crassulaceae;0,20;;;;;;;;;;Local non-specific dispersal;1;;
147;Aeonium smithii;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
148;Aeonium spathulatum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
149;Aeonium subplanum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
150;Aeonium tabulaeforme;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
151;Aeonium undulatum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
152;Aeonium urbicum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
153;Aeonium valverdense;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
154;Aeonium virgineum;;Aeonium;Crassulaceae;;;;;0,0;;;;;;Local non-specific dispersal;;;
155;Aeonium viscatum;;Aeonium;Crassulaceae;;;;;;;;;;;Local non-specific dispersal;;;
156;Aesculus hippocastanum;;Aesculus;Sapindaceae;24;1;;;10342,3;;;;;1;Dyszoochory;6;Anthropochory;7
157;Aesculus x carnea;;Aesculus;Sapindaceae;20;1;;;;;;neo;;;Dyszoochory;6;Anthropochory;7
158;Aethionema arabicum;;Aethionema;Brassicaceae;;;;;;;;;;;Local non-specific dispersal;;;
159;Aethionema armenum;;Aethionema;Brassicaceae;;;;;;;;;;;Local non-specific dispersal;;;
160;Aethionema capitatum;;Aethionema;Brassicaceae;;;;;;;;;;;Local non-specific dispersal;;;
161;Aethionema carlsbergii;;Aethionema;Brassicaceae;;;;;;;;;;;Local non-specific dispersal;;;
162;Aethionema cordatum;;Aethionema;Brassicaceae;;;;;3,1;;;;;;Local non-specific dispersal;;;
163;Aethionema diastrophis;;Aethionema;Brassicaceae;;;;;;;;;;;Local non-specific dispersal;;;
164;Aethionema eunomioides;;Aethionema;Brassicaceae;;;;;;;;;;;Local non-specific dispersal;;;
165;Aethionema grandiflorum;;Aethionema;Brassicaceae;;;;;;;;;;;Local non-specific dispersal;;;
166;Aethionema lycium;;Aethionema;Brassicaceae;;;;;;;;;;;Local non-specific dispersal;;;
167;Aethionema rhodopaeum;;Aethionema;Brassicaceae;;;;;;;;;;;Local non-specific dispersal;;;
168;Aethionema saxatile;;Aethionema;Brassicaceae;0,14;;;;0,6;;;;;;Local non-specific dispersal;1;;
169;Aethionema stylosum;;Aethionema;Brassicaceae;;;;;;;;;;;Local non-specific dispersal;;;
170;Aethionema subulatum;;Aethionema;Brassicaceae;;;;;;;;;;;Local non-specific dispersal;;;
171;Aethionema thesiifolium;;Aethionema;Brassicaceae;;;;;;;;;;;Local non-specific dispersal;;;
172;Aethionema thomasianum;;Aethionema;Brassicaceae;0,09;;;;;;;;;;Local non-specific dispersal;1;;
173;Aethusa cynapium;;Aethusa;Apiaceae;0,82;;;;1,5;;;;1;;Local non-specific dispersal;2;Anthropochory;7
174;Agave americana;;Agave;Asparagaceae;2,8;;;;30,2;;;neo;;;Local non-specific dispersal;2;Anthropochory;7
175;Agave sisalana;;Agave;Asparagaceae;3,2;;;;;;;neo;;;Local non-specific dispersal;2;Anthropochory;7
176;Ageratina adenophora;;Ageratina;Asteraceae;;;;;0,1;;Open_habitats;neo;;;Anemochory;5;Anthropochory;7
177;Agrimonia eupatoria;;Agrimonia;Rosaceae;0,66;;;;15,1;;;;;;Epizoochory;6;;
178;Agrimonia pilosa;;Agrimonia;Rosaceae;1,0;;;;15,4;;;;;;Epizoochory;6;;
179;Agrimonia procera;;Agrimonia;Rosaceae;0,95;;;;26,4;;;;;;Epizoochory;6;;
180;Agrimonia repens;;Agrimonia;Rosaceae;;;;;;;;;;;Epizoochory;6;;
181;Agropyron cimmericum;;Agropyron;Poaceae;0,38;;;;;;;;;;Epizoochory;6;;
182;Agropyron cristatum;;Agropyron;Poaceae;0,38;;;;7,7;;;;;;Epizoochory;6;;
183;Agropyron dasyanthum;;Agropyron;Poaceae;0,58;;;;;;;;;;Epizoochory;6;;
184;Agropyron desertorum;;Agropyron;Poaceae;0,41;;;;2,1;;;;;;Epizoochory;6;;
185;Agropyron fragile;;Agropyron;Poaceae;0,91;;;;2,2;;;;;;Epizoochory;6;;
186;Agropyron tanaiticum;;Agropyron;Poaceae;0,50;;;;;;;;;;Epizoochory;6;;
187;Agrostemma githago;;Agrostemma;Caryophyllaceae;0,63;;;;12,7;;;;1;;Local non-specific dispersal;2;Anthropochory;7
188;Agrostis alpina;;Agrostis;Poaceae;0,16;;;;0,2;;;;;;Local non-specific dispersal;1;;
189;Agrostis canina;;Agrostis;Poaceae;0,43;;;;0,1;;;;;;Local non-specific dispersal;2;;
190;Agrostis capillaris;;Agrostis;Poaceae;0,41;;;;0,1;;;;;1;Local non-specific dispersal;2;;
191;Agrostis castellana;;Agrostis;Poaceae;0,36;;;;0,1;;;;;;Local non-specific dispersal;2;;
192;Agrostis clavata;;Agrostis;Poaceae;;;;;0,1;;;;;;Local non-specific dispersal;;;
193;Agrostis congestiflora;;Agrostis;Poaceae;;;;;;;;;;;Local non-specific dispersal;;;
194;Agrostis curtisii;;Agrostis;Poaceae;0,50;;;;0,1;;;;;;Local non-specific dispersal;2;;
195;Agrostis gigantea;;Agrostis;Poaceae;0,90;;;;0,1;;;;;;Local non-specific dispersal;2;;
196;Agrostis hesperica;;Agrostis;Poaceae;;;;;;;;;;;Local non-specific dispersal;;;
197;Agrostis korczaginii;;Agrostis;Poaceae;;;;;;;;;;;Local non-specific dispersal;;;
198;Agrostis lazica;;Agrostis;Poaceae;;;;;;;;;;;Local non-specific dispersal;;;
199;Agrostis mertensii;;Agrostis;Poaceae;0,05;;;;0,1;;;;;;Local non-specific dispersal;1;;
200;Agrostis monteluccii;;Agrostis;Poaceae;0,50;;;;;;;;;;Local non-specific dispersal;2;;
201;Agrostis nevadensis;;Agrostis;Poaceae;;;;;;;;;;;Local non-specific dispersal;;;
202;Agrostis rupestris;;Agrostis;Poaceae;0,10;;;;0,1;;;;;;Local non-specific dispersal;1;;
203;Agrostis schleicheri;;Agrostis;Poaceae;0,23;;;;0,2;;;;;;Local non-specific dispersal;1;;
204;Agrostis schraderiana;;Agrostis;Poaceae;0,30;;;;;;;;;;Local non-specific dispersal;1;;
205;Agrostis stolonifera;;Agrostis;Poaceae;0,59;;;;0,1;;;;;1;Local non-specific dispersal;2;;
206;Agrostis tileni;;Agrostis;Poaceae;;;;;;;;;;;Local non-specific dispersal;;;
207;Agrostis vinealis;;Agrostis;Poaceae;0,38;;;;0,1;;;;;;Local non-specific dispersal;2;;
208;Agrostis x castriferrei;;Agrostis;Poaceae;;;;;;;;;;;Local non-specific dispersal;;;
209;Agrostis x murbeckii;;Agrostis;Poaceae;;;;;;;;;;;Local non-specific dispersal;;;
210;Achillea abrotanoides;;Achillea;Asteraceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
211;Achillea aegyptiaca;;Achillea;Asteraceae;>0,3;;;;0,1;;;;;;Local non-specific dispersal;2;;
212;Achillea ageratifolia;;Achillea;Asteraceae;>0,3;;;;0,3;;;;;;Local non-specific dispersal;2;;
213;Achillea ageratum;;Achillea;Asteraceae;0,44;;;;0,1;;;;;;Local non-specific dispersal;2;;
214;Achillea aleppica;;Achillea;Asteraceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
215;Achillea alexandri-regis;;Achillea;Asteraceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
216;Achillea ambrosiaca;;Achillea;Asteraceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
217;Achillea apiculata;Achillea millefolium aggr.;Achillea;Asteraceae;;;;;;;;;;;Local non-specific dispersal;;;
218;Achillea arabica;;Achillea;Asteraceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
219;Achillea asiatica;Achillea millefolium aggr.;Achillea;Asteraceae;;;;;;;;;;;Local non-specific dispersal;;;
220;Achillea aspleniifolia;Achillea millefolium aggr.;Achillea;Asteraceae;0,55;;;;0,1;;;;;;Local non-specific dispersal;2;;
221;Achillea atrata;;Achillea;Asteraceae;0,13;;;;0,3;;;;;;Local non-specific dispersal;1;;
222;Achillea aucheri;;Achillea;Asteraceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
223;Achillea barbeyana;;Achillea;Asteraceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
224;Achillea barrelieri;;Achillea;Asteraceae;0,19;;;;;;;;;;Local non-specific dispersal;1;;
225;Achillea biserrata;;Achillea;Asteraceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
226;Achillea carpatica;Achillea millefolium aggr.;Achillea;Asteraceae;0,30;;;;;;;;;;Local non-specific dispersal;2;;
227;Achillea clavennae;;Achillea;Asteraceae;0,19;;;;0,5;;;;;;Local non-specific dispersal;1;;
228;Achillea clusiana;;Achillea;Asteraceae;0,20;;;;0,4;;;;;;Local non-specific dispersal;1;;
229;Achillea clypeolata;;Achillea;Asteraceae;0,29;;;;0,1;;;;;;Local non-specific dispersal;1;;
230;Achillea coarctata;;Achillea;Asteraceae;0,45;;;;0,1;;;;;;Local non-specific dispersal;2;;
231;Achillea collina;Achillea millefolium aggr.;Achillea;Asteraceae;0,53;;;;0,1;;;;;;Local non-specific dispersal;2;;
232;Achillea cretica;;Achillea;Asteraceae;>0,3;;;;0,2;;;;;;Local non-specific dispersal;2;;
233;Achillea crithmifolia;;Achillea;Asteraceae;0,40;;;;;;;;;;Local non-specific dispersal;2;;
234;Achillea distans;Achillea millefolium aggr.;Achillea;Asteraceae;0,57;;;;0,3;;;;;;Local non-specific dispersal;2;;
235;Achillea distans subsp. tanacetifolia;;Achillea;Asteraceae;0,55;;;;;;;;;;Local non-specific dispersal;2;;
236;Achillea erba-rotta;;Achillea;Asteraceae;0,20;;;;0,3;;;;;;Local non-specific dispersal;1;;
237;Achillea euxina;Achillea millefolium aggr.;Achillea;Asteraceae;0,50;;;;;;;;;;Local non-specific dispersal;2;;
238;Achillea falcata;;Achillea;Asteraceae;>0,3;;;;0,3;;;;;;Local non-specific dispersal;2;;
239;Achillea filipendulina;;Achillea;Asteraceae;0,90;;;;0,1;;;;;1;Local non-specific dispersal;2;Anthropochory;7
240;Achillea formosa;;Achillea;Asteraceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
241;Achillea fraasii;;Achillea;Asteraceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
242;Achillea glaberrima;;Achillea;Asteraceae;0,30;;;;;;;;;;Local non-specific dispersal;2;;
243;Achillea grandifolia;;Achillea;Asteraceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
244;Achillea holosericea;;Achillea;Asteraceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
245;Achillea chamaemelifolia;;Achillea;Asteraceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
246;Achillea chrysocoma;;Achillea;Asteraceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
247;Achillea impatiens;;Achillea;Asteraceae;0,70;;;;;;;;;;Local non-specific dispersal;2;;
248;Achillea inundata;Achillea millefolium aggr.;Achillea;Asteraceae;0,80;;;;;;;;;;Local non-specific dispersal;2;;
249;Achillea kotschyi;;Achillea;Asteraceae;>0,3;;;;;;;;;;Local non-specific dispersal;2;;
