Argument Value
species_name galium_mollugo
mass 1.0850987804878
sd_mass 3.55530800693418
growrate 0.18
sd_growrate 0
max_dispersal_dist 5
mean_dispersal_dist 1
allee 0
sd_allee 0
bevmort -0.481058122572737
sd_bevmort 0.25774529326629
carry 17
sd_carry 0
upper_limit_temperature 18.65
lower_limit_temperature -8.74999999999994
upper_limit_precipitation 4706.5
lower_limit_precipitation 242.9
habitat_cutoff_suitability 0.01
optimum_temperature 10.35
optimum_precipitation 510.2
